img_path,img_label
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAAMHQMK.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AACCGLYD.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AACVGRFT.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AADGNDRG.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAEKWPVP.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAGDEQEK.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAGQKKEG.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAGSEPQK.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAHTSYCW.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAIRWEHA.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAKARNMS.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAKECYFG.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAKMYPEI.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAKNYETA.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAKPCSCF.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AALISVWI.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AALYMMMY.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AANCAVPI.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AANSPQPL.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AANTGCGD.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAQGWDFS.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAQPSAIS.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AARQAHEL.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AASIWMCN.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAVCLGTW.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAVHMEVH.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAVISFAG.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAVYQCNM.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAWITCTC.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-AAYYFCPQ.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-ACAGPPPK.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-ACEGAGDH.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-ACFFAKLI.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-ACGECYFV.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-ACGPLPIS.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-ACGQDTGN.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-ACHHCWRF.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-ACIAFTIG.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-ACIWAAQD.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-ACKYEHRP.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-ACLCHVYP.tif,8.0
/mnt/net_sda/lxt/ROI-Dataset/NCT-CRC-HE-100K/ADI/ADI-ACLCVLRY.tif,8.0
